sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
LR38D	LR38D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR38D_R1.fastq.gz	LR38D_R2.fastq.gz
LR39D	LR39D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR39D_R1.fastq.gz	LR39D_R2.fastq.gz
LR40D	LR40D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR40D_R1.fastq.gz	LR40D_R2.fastq.gz
LR41D	LR41D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR41D_R1.fastq.gz	LR41D_R2.fastq.gz
LR42D	LR42D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR42D_R1.fastq.gz	LR42D_R2.fastq.gz
LR45D	LR45D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR45D_R1.fastq.gz	LR45D_R2.fastq.gz
LR47D	LR47D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR47D_R1.fastq.gz	LR47D_R2.fastq.gz
LR48D	LR48D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR48D_R1.fastq.gz	LR48D_R2.fastq.gz
LRH11-s2-D	LRH11-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH11-s2-D_R1.fastq.gz	LRH11-s2-D_R2.fastq.gz
LRH14-s2-D	LRH14-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH14-s2-D_R1.fastq.gz	LRH14-s2-D_R2.fastq.gz
LRH15-s2-D	LRH15-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH15-s2-D_R1.fastq.gz	LRH15-s2-D_R2.fastq.gz
M09D	M09D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M09D_R1.fastq.gz	M09D_R2.fastq.gz
M10D	M10D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M10D_R1.fastq.gz	M10D_R2.fastq.gz
M11D	M11D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M11D_R1.fastq.gz	M11D_R2.fastq.gz
M12D	M12D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M12D_R1.fastq.gz	M12D_R2.fastq.gz
M13D	M13D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M13D_R1.fastq.gz	M13D_R2.fastq.gz
M14D	M14D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M14D_R1.fastq.gz	M14D_R2.fastq.gz
M15D	M15D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M15D_R1.fastq.gz	M15D_R2.fastq.gz
M16D	M16D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M16D_R1.fastq.gz	M16D_R2.fastq.gz
PR13D	PR13D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR13D_R1.fastq.gz	PR13D_R2.fastq.gz
PR15D	PR15D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR15D_R1.fastq.gz	PR15D_R2.fastq.gz
PR17D	PR17D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR17D_R1.fastq.gz	PR17D_R2.fastq.gz
PR19D	PR19D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR19D_R1.fastq.gz	PR19D_R2.fastq.gz
PR21D	PR21D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR21D_R1.fastq.gz	PR21D_R2.fastq.gz
PR23D	PR23D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR23D_R1.fastq.gz	PR23D_R2.fastq.gz
RO216D	RO216D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO216D_R1.fastq.gz	RO216D_R2.fastq.gz
RO219D	RO219D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO219D_R1.fastq.gz	RO219D_R2.fastq.gz
RO220D	RO220D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO220D_R1.fastq.gz	RO220D_R2.fastq.gz
RO221D	RO221D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO221D_R1.fastq.gz	RO221D_R2.fastq.gz
RO222D	RO222D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO222D_R1.fastq.gz	RO222D_R2.fastq.gz
RO223D	RO223D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO223D_R1.fastq.gz	RO223D_R2.fastq.gz
RO226D	RO226D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO226D_R1.fastq.gz	RO226D_R2.fastq.gz
RO228D	RO228D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO228D_R1.fastq.gz	RO228D_R2.fastq.gz
RO229D	RO229D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO229D_R1.fastq.gz	RO229D_R2.fastq.gz
SL322D	SL322D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SL322D_R1.fastq.gz	SL322D_R2.fastq.gz
SL323D	SL323D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SL323D_R1.fastq.gz	SL323D_R2.fastq.gz
SL325D	SL325D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SL325D_R1.fastq.gz	SL325D_R2.fastq.gz
SL326D	SL326D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SL326D_R1.fastq.gz	SL326D_R2.fastq.gz
SL327D	SL327D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SL327D_R1.fastq.gz	SL327D_R2.fastq.gz
SPR13D	SPR13D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR13D_R1.fastq.gz	SPR13D_R2.fastq.gz
SPR16D	SPR16D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR16D_R1.fastq.gz	SPR16D_R2.fastq.gz
SPR18D	SPR18D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR18D_R1.fastq.gz	SPR18D_R2.fastq.gz
SPR20D	SPR20D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR20D_R1.fastq.gz	SPR20D_R2.fastq.gz
SPR21D	SPR21D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR21D_R1.fastq.gz	SPR21D_R2.fastq.gz
SPR23D	SPR23D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR23D_R1.fastq.gz	SPR23D_R2.fastq.gz
ST21D	ST21D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	ST21D_R1.fastq.gz	ST21D_R2.fastq.gz
ST27D	ST27D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	ST27D_R1.fastq.gz	ST27D_R2.fastq.gz
SWL322D	SWL322D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWL322D_R1.fastq.gz	SWL322D_R2.fastq.gz
SWL323D	SWL323D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWL323D_R1.fastq.gz	SWL323D_R2.fastq.gz
SWL325D	SWL325D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWL325D_R1.fastq.gz	SWL325D_R2.fastq.gz
SWL326D	SWL326D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWL326D_R1.fastq.gz	SWL326D_R2.fastq.gz
SWL327D	SWL327D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWL327D_R1.fastq.gz	SWL327D_R2.fastq.gz
SWPR13D	SWPR13D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR13D_R1.fastq.gz	SWPR13D_R2.fastq.gz
SWPR16D	SWPR16D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR16D_R1.fastq.gz	SWPR16D_R2.fastq.gz
SWPR18D	SWPR18D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR18D_R1.fastq.gz	SWPR18D_R2.fastq.gz
SWPR20D	SWPR20D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR20D_R1.fastq.gz	SWPR20D_R2.fastq.gz
SWPR21D	SWPR21D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR21D_R1.fastq.gz	SWPR21D_R2.fastq.gz
SWPR23D	SWPR23D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR23D_R1.fastq.gz	SWPR23D_R2.fastq.gz
SWT21D	SWT21D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWT21D_R1.fastq.gz	SWT21D_R2.fastq.gz
SWT25D	SWT25D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWT25D_R1.fastq.gz	SWT25D_R2.fastq.gz
SWT27D	SWT27D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWT27D_R1.fastq.gz	SWT27D_R2.fastq.gz
SWT29D	SWT29D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWT29D_R1.fastq.gz	SWT29D_R2.fastq.gz
T27D	T27D	16S rRNA (V4) amplicon sequencing of Tributary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	T27D_R1.fastq.gz	T27D_R2.fastq.gz
T37D	T37D	16S rRNA (V4) amplicon sequencing of Tributary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	T37D_R1.fastq.gz	T37D_R2.fastq.gz
T38D	T38D	16S rRNA (V4) amplicon sequencing of Tributary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	T38D_R1.fastq.gz	T38D_R2.fastq.gz
HW24D	HW24D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW24D_R1.fastq.gz	HW24D_R2.fastq.gz
HW24R	HW24R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW24R_R1.fastq.gz	HW24R_R2.fastq.gz
HW25D	HW25D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW25D_R1.fastq.gz	HW25D_R2.fastq.gz
HW25R	HW25R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW25R_R1.fastq.gz	HW25R_R2.fastq.gz
HW26D	HW26D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW26D_R1.fastq.gz	HW26D_R2.fastq.gz
HW26R	HW26R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW26R_R1.fastq.gz	HW26R_R2.fastq.gz
HW27D	HW27D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW27D_R1.fastq.gz	HW27D_R2.fastq.gz
HW27R	HW27R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW27R_R1.fastq.gz	HW27R_R2.fastq.gz
HW28R	HW28R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW28R_R1.fastq.gz	HW28R_R2.fastq.gz
HW28D	HW28D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW28D_R1.fastq.gz	HW28D_R2.fastq.gz
HW30R	HW30R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW30R_R1.fastq.gz	HW30R_R2.fastq.gz
HW30D	HW30D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW30D_R1.fastq.gz	HW30D_R2.fastq.gz
HW31D	HW31D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW31D_R1.fastq.gz	HW31D_R2.fastq.gz
HW31R	HW31R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW31R_R1.fastq.gz	HW31R_R2.fastq.gz
HW32D	HW32D	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW32D_R1.fastq.gz	HW32D_R2.fastq.gz
HW32R	HW32R	16S rRNA (V4) amplicon sequencing of Hyporheic bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	HW32R_R1.fastq.gz	HW32R_R2.fastq.gz
L3281R	L3281R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3281R_R1.fastq.gz	L3281R_R2.fastq.gz
L3281D	L3281D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3281D_R1.fastq.gz	L3281D_R2.fastq.gz
L3282R	L3282R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3282R_R1.fastq.gz	L3282R_R2.fastq.gz
L3291D	L3291D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3291D_R1.fastq.gz	L3291D_R2.fastq.gz
L3291R	L3291R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3291R_R1.fastq.gz	L3291R_R2.fastq.gz
L3292D	L3292D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3292D_R1.fastq.gz	L3292D_R2.fastq.gz
L3292R	L3292R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L3292R_R1.fastq.gz	L3292R_R2.fastq.gz
L330.C1R	L330.C1R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L330.C1R_R1.fastq.gz	L330.C1R_R2.fastq.gz
LR49R	LR49R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR49R_R1.fastq.gz	LR49R_R2.fastq.gz
LR49D	LR49D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR49D_R1.fastq.gz	LR49D_R2.fastq.gz
LR50R	LR50R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR50R_R1.fastq.gz	LR50R_R2.fastq.gz
LR50D	LR50D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR50D_R1.fastq.gz	LR50D_R2.fastq.gz
LR51D	LR51D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR51D_R1.fastq.gz	LR51D_R2.fastq.gz
LR51R	LR51R	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR51R_R1.fastq.gz	LR51R_R2.fastq.gz
LR52D	LR52D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR52D_R1.fastq.gz	LR52D_R2.fastq.gz
LR53D	LR53D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR53D_R1.fastq.gz	LR53D_R2.fastq.gz
LR53R	LR53R	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR53R_R1.fastq.gz	LR53R_R2.fastq.gz
LR54D	LR54D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR54D_R1.fastq.gz	LR54D_R2.fastq.gz
LR54R	LR54R	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR54R_R1.fastq.gz	LR54R_R2.fastq.gz
LR55D	LR55D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR55D_R1.fastq.gz	LR55D_R2.fastq.gz
LR56D	LR56D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR56D_R1.fastq.gz	LR56D_R2.fastq.gz
LR56R	LR56R	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR56R_R1.fastq.gz	LR56R_R2.fastq.gz
LR57D	LR57D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR57D_R1.fastq.gz	LR57D_R2.fastq.gz
LR58D	LR58D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR58D_R1.fastq.gz	LR58D_R2.fastq.gz
LR58R	LR58R	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR58R_R1.fastq.gz	LR58R_R2.fastq.gz
